Type,Date,Time,Location,City,County,Zip,Geocode
NFS - self inflicted,03/03/2013,1643,908 Karlson Ave.,Hyattsville,Prince George's,20783,"908 Karlson Ave.
Hyattsville 20783
(38.968592990000445, -76.99198081499964)"
NFS,09/19/2013,2235,5321 85th Ave,New Carrollton,Prince George's,20784,"5321 85th Ave
New Carrollton 20784
(38.95549249400045, -76.86826981999963)"
NFS,10/24/2013,1629,1401 Kanawha St,Hyattsville,Prince George's,20784,"1401 Kanawha St
Hyattsville 20784
(38.988259463000475, -76.98364499799965)"
NFS,10/18/2013,158,W/B Rt 50 at Rt 202,Cheverly,Prince George's,20785,"W/B Rt 50 at Rt 202
Cheverly 20785
(38.91917642700048, -76.88199713599965)"
NFS,10/12/2013,2305,3206 Shekhar Ct,Springdale,Prince George's,20785,"3206 Shekhar Ct
Springdale 20785
(38.91917642700048, -76.88199713599965)"
NFS,12/17/2013,1044,1944 Rochelle Ave,District Heights,Prince George's,20785,"1944 Rochelle Ave
District Heights 20785
(38.863430062000475, -76.89372484399968)"
NFS,12/03/2013,1811,4119 Shell St,Capitol Heights,Prince George's,20785,"4119 Shell St
Capitol Heights 20785
(38.87189602900048, -76.93574754999963)"
NFS,10/26/2013,41,3001 Hospital Dr,Cheverly,Prince George's,20785,"3001 Hospital Dr
Cheverly 20785
(38.93172104200045, -76.91928616299964)"
NFS,09/08/2013,200,1902 Vermont Ave,Landover,Prince George's,20785,"1902 Vermont Ave
Landover 20785
(38.9159210360005, -76.89031383799966)"
NFS,01/14/2013,2230,3900 Blk Morningwood Dr,Olney,Montgomery,20832,"3900 Blk Morningwood Dr
Olney 20832
(39.15279868300047, -77.07121777999964)"
NFS,03/21/2013,45,13006 Freeland Rd.,Rockville,Montgomery,20853,"13006 Freeland Rd.
Rockville 20853
(39.06956398900047, -77.09004460699964)"
NFS,03/21/2013,45,13006 Freeland Rd.,Rockville,Montgomery,20853,"13006 Freeland Rd.
Rockville 20853
(39.06956398900047, -77.09004460699964)"
NFS,08/05/2013,130,17408 Onax Drive,Germantown,Montgomery,20874,"17408 Onax Drive
Germantown 20874
(39.14210243400049, -77.29906161499963)"
